Num	CG	Titolo	Musica	Testo	Raccolta	Annopub	Editore	Fonte	FonteClass	Stile	Forma	USO	TEMPO	COLLOCAZ	RN/CDP	RN	CDP	RCB	AnnoImp	Difficoltà	Risultato	Colloc_1	Colloc_2	Colloc_3	CollocFILT	CoroAss
198	CG198	Ti offriamo	Gen Verde					M: Gen Verde    -  	Gen		Canzone	LIT	ORD	OFF	 							08 - Offertorio			08 - Offertorio;;	Assemblea
199	CG199	Ti ringrazio mio Signore	P. Sequeri					M: P. Sequeri    -  	Sequeri			LIT	ORD		 										;;	Assemblea
200	CG200	Ti saluto o Croce santa	P. Damilano	A. Gazzera		1959	AISC	"M: P. Damilano, T: A. Gazzera  ed. AISC (1959)- RN138"	RN			LIT	QUA		RN138	RN138	CDP					20 - Tempi: Quaresima			20 - Tempi: Quaresima;;	Assemblea
201	CG201	Tu quando verrai	W. Croft	G. Poma		1708	LDC	"M: W. Croft, T: G. Poma  ed. LDC (1708)- RN308"	RN			LIT	AVV		RN308	RN308									;;	Assemblea
202	CG202	Ti seguirò	M. Frisina	M. Frisina				"M: M. Frisina, T: M. Frisina   - RN100"	RN			LIT	"ORD,QUA"		RN100	RN100									;;	Assemblea
203	CG203	Tu sei la mia vita	P. Sequeri	P. Sequeri		1978	Rugginenti	"M: P. Sequeri, T: P. Sequeri  ed. Rugginenti (1978)- RN383"	Sequeri			LIT	ORD		RN383	RN383	CDP					12 - Comunione			12 - Comunione;;	Assemblea
204	CG204	Tu sei vivo fuoco	J. Neander	G. Poma		1680	LDC	"M: J. Neander, T: G. Poma  ed. LDC (1680)- CDP747"	CDP			LIT	SPI		CDP747		CDP747								;;	Assemblea
205	CG205	Tu scendi dalle stelle	S. A. M. dè Liguori	S. A. M. dè Liguori			LDC	"M: S. A. M. dè Liguori, T: S. A. M. dè Liguori  ed. LDC - RN74"	RN	Tradizionale		LIT	NAT		RN74	RN74	CDP	RCB012				19 - Tempi: Natale			19 - Tempi: Natale;;	Assemblea
206	CG206	Tu fonte viva	O. Muller	G. Poma		1800		"M: O. Muller, T: G. Poma   (1800)- RN381"	CDP			LIT	ORD		RN381	RN381	CDP								;;	Assemblea
207	CG207	Tu sei la vita						     -  				RIP	RIP		 										;;	Assemblea
208	CG208	Ti ringrazio	C. Gabarain			1968		M: C. Gabarain    (1968)- CDP925	CDP			LIT	ORD	FIN	CDP925		CDP925					13 - Fine			13 - Fine;;	Assemblea
209	CG209	Tutta la terra canti a Dio	Salterio Ginevrino	S. Albisetti		1500	LDC	"M: Salterio Ginevrino, T: S. Albisetti  ed. LDC (1500)- RN310"	RN			LIT	ORD		RN310	RN310	CDP								;;	Assemblea
210	CG210	Un cuore grande	Lagorio					M: Lagorio    -  	Altri		Canzone	LIT	SAN	DONBOSCO	 										;;	Assemblea
211	CG211	Unti è bello	Ignoto	Ignoto				"M: Ignoto, T: Ignoto   -  "	M2G		Canzone	RIP	RIP		 										;;	Assemblea
